Abandoned Forge, 0.25, 0.78, 0, [], [], []
Abandoned Greenhouse, 0.12, -0.08, 1, [], [], []
Abandoned Outpost, 0.13, 0.05, 2, [], [], []
Arcane, 0.25, 2.57, 3, [], [], []
Ash, 0.18, 1.06, 4, [], [], []
Assembler, 0.19, 1.69, 5, [], [], []
Blossom, 0.19, 0.85, 6, [], [], []
Crimson, 0.23, 0.97, 7, [], [], []
Decayed, 0.18, 2.93, 8, [], [], []
Desert, 0.17, -1.19, 9, [], [], []
Forest, 0.20, -1.21, 10, [], [], []
Forge, 0.27, 0.51, 11, [], [], []
Fractal, 0.18, 0.05, 12, [], [], []
Fungi, 0.14, -1.33, 13, [], [], []
Greenhouse, 0.15, 0.92, 14, [], [], []
Hallow, 0.25, 0.47, 15, [], [], []
Hive, 0.15, 0.89, 16, [], [], []
Jungle, 0.19, 0.90, 17, [], [], []
Lush, 0.18, 0.12, 18, [], [], []
Magma, 0.14, -0.02, 19, [], [], []
Mud, 0.20, 1.86, 20, [], [], []
Mutated, 0.15, -1.22, 21, [], [], []
Oasis, 0.13, -2.27, 22, [], [], []
Ocean, 0.15, -0.09, 23, [], [], []
Outpost, 0.21, 1.85, 24, [], [], []
Paradise, 0.26, 0.52, 25, [], [], []
Prism, 0.15, -0.13, 26, [], [], []
Radioactive, 0.14, 1.52, 27, [], [], []
Ruins, 0.17, 2.54, 28, [], [], []
Savannah, 0.22, 0.72, 29, [], [], []
Shapeshift, 0.15, -1.34, 30, [], [], []
Slime, 0.16, 2.02, 31, [], [], []
Spectral, 0.24, 1.11, 32, [], [], []
Steam, 0.28, 1.19, 33, [], [], []
Swamp, 0.16, 3.27, 34, [], [], []
Temple, 0.27, -0.65, 35, [], [], []
Timeless, 0.19, 0.92, 36, [], [], []
Toxic, 0.22, -1.21, 37, [], [], []
Tundra, 0.22, 1.94, 38, [], [], []
Virtual, 0.24, -2.97, 39, [], [], []
Void, 0.19, -0.21, 40, [], [], []
Volcanic, 0.28, -1.82, 41, [], [], []
